"date","open","high","low","close","volume","adjusted_close","change_percent","avg_vol_20d"
2011-06-27,1.84866,1.88534,1.82066,1.83066,27140490,27.4605,-0.38,29795049.2
2011-06-28,1.85266,1.88334,1.84466,1.874,13336965,28.11,2.37,27994006.75
2011-06-29,1.9,1.93934,1.87134,1.886,21925605,28.29,0.64,27942490.75
2011-06-30,1.9,1.95534,1.89334,1.942,14199795,29.13,2.97,27912760.75
2011-07-01,1.938,1.97334,1.92,1.93466,12822570,29.0205,-0.38,23896233.4
2011-07-05,1.93466,1.968,1.914,1.94266,14939820,29.1405,0.41,22894399.95
2011-07-06,1.94266,1.94266,1.90334,1.93066,13903320,28.9605,-0.62,22672992.45
2011-07-07,1.94266,2,1.934,1.982,19917300,29.73,2.66,22396156.2
2011-07-08,1.99266,1.99266,1.906,1.92066,18608685,28.8105,-3.09,22123426.2
2011-07-11,1.89334,1.902,1.86666,1.89,14635530,28.35,-1.6,21680304.45
2011-07-12,1.89134,1.93934,1.86666,1.878,15681075,28.17,-0.63,21179038.2
2011-07-13,1.89534,1.93534,1.86,1.90934,15989115,28.6395,1.67,20798512.2
2011-07-14,1.902,1.93066,1.81666,1.84066,17386950,27.6105,-3.59,20657926.2
2011-07-15,1.85266,1.85534,1.82666,1.83866,10634310,27.5805,-0.11,19808048.75
2011-07-18,1.82266,1.83,1.77534,1.81534,12784740,27.2295,-1.27,19161812.75
2011-07-19,1.83866,1.874,1.836,1.85934,15390705,27.8895,2.42,18778067
2011-07-20,1.86666,2.02934,1.85334,1.91266,45725895,28.6905,2.87,19941940.2
2011-07-21,1.92734,1.944,1.87334,1.91334,15180075,28.6995,0.03,19594294.95
2011-07-22,1.91334,1.96934,1.9034,1.95266,8758020,29.2905,2.06,19154703.5
2011-07-25,1.934,1.95,1.896,1.89934,10102365,28.4895,-2.73,16953178.35
2011-07-26,1.88734,1.918,1.86466,1.86666,11443980,28.0005,-1.72,16168352.15
2011-07-27,1.9,1.9,1.834,1.84266,14376030,27.6405,-1.29,16220305.4
2011-07-28,1.84,1.90334,1.836,1.878,14080920,28.17,1.92,15828071.15
2011-07-29,1.85334,1.89334,1.83334,1.878,14221890,28.17,0,15829175.9
2011-08-01,1.91134,1.932,1.88066,1.918,17472315,28.77,2.13,16061663.15
2011-08-02,1.91266,1.94666,1.818,1.82266,23239785,27.3405,-4.97,16476661.4
2011-08-03,1.83334,1.85534,1.75574,1.81334,27019920,27.1995,-0.52,17132491.4
2011-08-04,1.76734,1.79266,1.64466,1.65,45983925,24.75,-9.01,18435822.6
2011-08-05,1.666,1.692,1.522,1.616,29465625,24.24,-2.06,18978669.6
2011-08-08,1.54,1.62934,1.54,1.576,39128565,23.64,-2.48,20203321.3
2011-08-09,1.61,1.69666,1.58,1.67066,20000715,25.0605,6.01,20419303.3
2011-08-10,1.696,1.696,1.57534,1.588,23462190,23.82,-4.95,20792957.05
2011-08-11,1.60266,1.71666,1.6,1.68666,12547245,25.3005,6.22,20550971.8
2011-08-12,1.70666,1.80934,1.69066,1.754,15135285,26.31,3.99,20776021.25
2011-08-15,1.77466,1.78334,1.72866,1.74866,11078580,26.2305,-0.3,20690712.55
2011-08-16,1.742,1.76934,1.722,1.74,8065320,26.1,-0.5,20324442.6
2011-08-17,1.75934,1.77666,1.70066,1.722,9656580,25.83,-1.03,18520976.2
2011-08-18,1.66666,1.67666,1.56466,1.61734,15848520,24.2595,-6.08,18554398.45
2011-08-19,1.59066,1.61466,1.46666,1.48666,20629140,22.3005,-8.08,19147955.15
2011-08-22,1.54066,1.58666,1.44534,1.46334,14792700,21.9495,-1.57,19382472.6
2011-08-23,1.462,1.54066,1.43334,1.53066,13034505,22.9605,4.61,19461999.55
2011-08-24,1.54,1.59534,1.522,1.59134,10263570,23.8695,3.96,19256375.85
2011-08-25,1.59134,1.59134,1.52666,1.54066,10203150,23.1105,-3.18,19062486.65
2011-08-26,1.514,1.59666,1.47134,1.582,11426340,23.73,2.68,18922708.45
